module.relu.clip_val,module.layer1.0.relu1.clip_val,module.layer1.0.relu2.clip_val,module.layer1.1.relu1.clip_val,module.layer1.1.relu2.clip_val,module.layer2.0.relu1.clip_val,module.layer2.0.relu2.clip_val,module.layer2.1.relu1.clip_val,module.layer2.1.relu2.clip_val,module.layer3.0.relu1.clip_val,module.layer3.0.relu2.clip_val,module.layer3.1.relu1.clip_val,module.layer3.1.relu2.clip_val,module.layer4.0.relu1.clip_val,module.layer4.0.relu2.clip_val,module.layer4.1.relu1.clip_val,module.layer4.1.relu2.clip_val
8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
7.960061073303223,7.960077285766602,7.960082054138184,7.960077285766602,7.96008825302124,7.960077285766602,7.960122108459473,7.960077285766602,7.960137844085693,7.960077285766602,7.960077285766602,7.960077285766602,7.960141658782959,7.960077285766602,7.960224151611328,7.960077285766602,8.017184257507324
7.922439098358154,7.922432899475098,7.922438621520996,7.922432899475098,7.922428607940674,7.922432899475098,7.922468185424805,7.922432899475098,7.922496795654297,7.922432899475098,7.922432899475098,7.922432899475098,7.922530174255371,7.922432899475098,7.922549724578857,7.922432899475098,8.049522399902344
7.887998580932617,7.888010025024414,7.888008117675781,7.888010025024414,7.887992858886719,7.888010025024414,7.888040542602539,7.888010025024414,7.8880510330200195,7.888010025024414,7.888010025024414,7.888010025024414,7.888107776641846,7.888010025024414,7.888174057006836,7.888010025024414,8.072587966918945
7.85836124420166,7.8583831787109375,7.858374118804932,7.8583831787109375,7.858343124389648,7.8583831787109375,7.858427047729492,7.8583831787109375,7.858418941497803,7.8583831787109375,7.8583831787109375,7.8583831787109375,7.858476638793945,7.8583831787109375,7.85852575302124,7.8583831787109375,8.090046882629395
7.834085464477539,7.8340959548950195,7.834099292755127,7.8340959548950195,7.834084987640381,7.8340959548950195,7.834122657775879,7.8340959548950195,7.834164619445801,7.8340959548950195,7.8340959548950195,7.8340959548950195,7.8341522216796875,7.8340959548950195,7.83421516418457,7.8340959548950195,8.102571487426758
7.815251350402832,7.815267086029053,7.815271854400635,7.815267086029053,7.815270900726318,7.815267086029053,7.815304756164551,7.815267086029053,7.815338134765625,7.815267086029053,7.815267086029053,7.815267086029053,7.815319538116455,7.815267086029053,7.815381050109863,7.815267086029053,8.108328819274902
7.801677703857422,7.801699638366699,7.801706314086914,7.801699638366699,7.801725387573242,7.801699638366699,7.801707744598389,7.801699638366699,7.801796913146973,7.801699638366699,7.801699638366699,7.801699638366699,7.801757335662842,7.801699638366699,7.801842212677002,7.801699638366699,8.112330436706543
7.79266881942749,7.792691230773926,7.792701721191406,7.792691230773926,7.792724132537842,7.792691230773926,7.792694091796875,7.792691230773926,7.792776584625244,7.792691230773926,7.792691230773926,7.792691230773926,7.792740345001221,7.792691230773926,7.792827129364014,7.792691230773926,8.114484786987305
7.786856174468994,7.786870002746582,7.786877632141113,7.786870002746582,7.786904335021973,7.786870002746582,7.786879539489746,7.786870002746582,7.7869367599487305,7.786870002746582,7.786870002746582,7.786870002746582,7.786941051483154,7.786870002746582,7.786980628967285,7.786870002746582,8.115645408630371
7.782083034515381,7.782096862792969,7.7821044921875,7.782096862792969,7.782131195068359,7.782096862792969,7.782106399536133,7.782096862792969,7.782163619995117,7.782096862792969,7.782096862792969,7.782096862792969,7.782167911529541,7.782096862792969,7.782207489013672,7.782096862792969,8.116547584533691